lat,lon,time,SIS,SID
46.0,11.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,11.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,11.75,2021-05-07T00:30:00,0.0,0.0
46.0,11.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,11.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,11.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,11.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,12.0,2021-05-07T00:30:00,0.0,0.0
46.0,12.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,12.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,12.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,12.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,12.25,2021-05-07T00:30:00,0.0,0.0
46.0,12.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,12.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,12.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,12.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,12.5,2021-05-07T00:30:00,0.0,0.0
46.0,12.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,12.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,12.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,12.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,12.75,2021-05-07T00:30:00,0.0,0.0
46.0,12.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,12.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,12.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,12.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,13.0,2021-05-07T00:30:00,0.0,0.0
46.0,13.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,13.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,13.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,13.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,13.25,2021-05-07T00:30:00,0.0,0.0
46.0,13.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,13.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,13.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,13.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,13.5,2021-05-07T00:30:00,0.0,0.0
46.0,13.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,13.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,13.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,13.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,13.75,2021-05-07T00:30:00,0.0,0.0
46.0,13.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,13.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,13.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,13.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,14.0,2021-05-07T00:30:00,0.0,0.0
46.0,14.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,14.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,14.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,14.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,14.25,2021-05-07T00:30:00,0.0,0.0
46.0,14.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,14.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,14.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,14.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,14.5,2021-05-07T00:30:00,0.0,0.0
46.0,14.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,14.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,14.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,14.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,14.75,2021-05-07T00:30:00,0.0,0.0
46.0,14.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,14.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,14.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,14.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,15.0,2021-05-07T00:30:00,0.0,0.0
46.0,15.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,15.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,15.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,15.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,15.25,2021-05-07T00:30:00,0.0,0.0
46.0,15.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,15.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,15.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,15.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,15.5,2021-05-07T00:30:00,0.0,0.0
46.0,15.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,15.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,15.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,15.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,15.75,2021-05-07T00:30:00,0.0,0.0
46.0,15.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,15.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,15.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,15.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,16.0,2021-05-07T00:30:00,0.0,0.0
46.05000305175781,5.0,2021-05-07T00:30:00,0.0,0.0
46.05000305175781,5.0500030517578125,2021-05-07T00:30:00,0.0,0.0
